bash-4.4# time kafka-producer-perf-test.sh --topic testes-de-performance --num-records 10000000 --throughput -1 --record-size 1000 --producer.config opt/kafka/config/producer.prope
rties
70401 records sent, 13844.8 records/sec (13.20 MB/sec), 1226.0 ms avg latency, 2978.0 ms max latency.
95600 records sent, 18979.6 records/sec (18.10 MB/sec), 1699.7 ms avg latency, 4048.0 ms max latency.
98224 records sent, 19601.7 records/sec (18.69 MB/sec), 1551.1 ms avg latency, 5692.0 ms max latency.
116080 records sent, 22999.8 records/sec (21.93 MB/sec), 1256.0 ms avg latency, 6170.0 ms max latency.
114992 records sent, 22998.4 records/sec (21.93 MB/sec), 1410.3 ms avg latency, 6396.0 ms max latency.
102512 records sent, 20498.3 records/sec (19.55 MB/sec), 1452.6 ms avg latency, 8438.0 ms max latency.
97611 records sent, 19417.3 records/sec (18.52 MB/sec), 1818.0 ms avg latency, 8517.0 ms max latency.
118384 records sent, 23676.8 records/sec (22.58 MB/sec), 1345.5 ms avg latency, 8211.0 ms max latency.
96587 records sent, 19317.4 records/sec (18.42 MB/sec), 1566.9 ms avg latency, 8978.0 ms max latency.
97472 records sent, 19385.8 records/sec (18.49 MB/sec), 1678.3 ms avg latency, 9656.0 ms max latency.
117022 records sent, 23348.4 records/sec (22.27 MB/sec), 1474.5 ms avg latency, 9936.0 ms max latency.
96246 records sent, 19241.5 records/sec (18.35 MB/sec), 1511.3 ms avg latency, 10138.0 ms max latency.
121808 records sent, 24283.9 records/sec (23.16 MB/sec), 1524.5 ms avg latency, 10239.0 ms max latency.
120991 records sent, 24174.0 records/sec (23.05 MB/sec), 1416.2 ms avg latency, 8934.0 ms max latency.
106336 records sent, 21267.2 records/sec (20.28 MB/sec), 1498.2 ms avg latency, 8681.0 ms max latency.
114048 records sent, 22786.8 records/sec (21.73 MB/sec), 1404.4 ms avg latency, 9189.0 ms max latency.
105494 records sent, 21086.1 records/sec (20.11 MB/sec), 1511.0 ms avg latency, 9575.0 ms max latency.
114704 records sent, 22817.6 records/sec (21.76 MB/sec), 1555.4 ms avg latency, 10601.0 ms max latency.
119365 records sent, 23834.9 records/sec (22.73 MB/sec), 1350.7 ms avg latency, 9946.0 ms max latency.
110339 records sent, 21953.6 records/sec (20.94 MB/sec), 1365.3 ms avg latency, 10184.0 ms max latency.
107509 records sent, 21446.0 records/sec (20.45 MB/sec), 1617.3 ms avg latency, 10865.0 ms max latency.
124976 records sent, 24980.2 records/sec (23.82 MB/sec), 1383.8 ms avg latency, 10634.0 ms max latency.
113152 records sent, 22535.7 records/sec (21.49 MB/sec), 1393.1 ms avg latency, 10048.0 ms max latency.
111536 records sent, 22187.4 records/sec (21.16 MB/sec), 1527.9 ms avg latency, 9757.0 ms max latency.
115600 records sent, 23064.6 records/sec (22.00 MB/sec), 1566.0 ms avg latency, 9499.0 ms max latency.
113904 records sent, 22564.2 records/sec (21.52 MB/sec), 1449.2 ms avg latency, 8950.0 ms max latency.
117488 records sent, 23320.4 records/sec (22.24 MB/sec), 1484.0 ms avg latency, 9194.0 ms max latency.
127712 records sent, 25445.7 records/sec (24.27 MB/sec), 1372.4 ms avg latency, 8670.0 ms max latency.
110128 records sent, 21902.9 records/sec (20.89 MB/sec), 1402.3 ms avg latency, 8334.0 ms max latency.
107824 records sent, 21517.5 records/sec (20.52 MB/sec), 1502.5 ms avg latency, 9723.0 ms max latency.
130704 records sent, 26067.8 records/sec (24.86 MB/sec), 1414.8 ms avg latency, 9660.0 ms max latency.
118896 records sent, 23548.4 records/sec (22.46 MB/sec), 1342.1 ms avg latency, 9161.0 ms max latency.
111264 records sent, 22063.1 records/sec (21.04 MB/sec), 1437.6 ms avg latency, 7718.0 ms max latency.
118784 records sent, 23709.4 records/sec (22.61 MB/sec), 1394.4 ms avg latency, 8005.0 ms max latency.
115504 records sent, 22972.2 records/sec (21.91 MB/sec), 1333.2 ms avg latency, 8185.0 ms max latency.
97429 records sent, 19458.6 records/sec (18.56 MB/sec), 1644.9 ms avg latency, 9495.0 ms max latency.
131664 records sent, 25892.6 records/sec (24.69 MB/sec), 1371.2 ms avg latency, 9468.0 ms max latency.
104320 records sent, 20702.5 records/sec (19.74 MB/sec), 1413.7 ms avg latency, 8466.0 ms max latency.
117246 records sent, 23444.5 records/sec (22.36 MB/sec), 1477.9 ms avg latency, 8979.0 ms max latency.
